"id","raw_id","aircraft_model","published_date","event_tag","airline","event_location","event_date","event_description","aircraft_tail_extracted","ac_manufacturer_extracted","ac_model_extracted","flight_number_extracted"
117643,1217,B737,2023-10-01 00:00:00.000 +0200,Incident,Southwest,Sacramento,2023-09-30 00:00:00.000 +0200,bird strike,N770SA,Boeing,"737-700",WN-1707
117648,1222,A321,2023-09-29 00:00:00.000 +0200,Incident,Lufthansa,Frankfurt,2023-09-29 00:00:00.000 +0200,bird strike,D-AIRK,Airbus,A321-100,LH-1530
117673,1247,A320,2023-09-25 00:00:00.000 +0200,Incident,PIA,Sialkot,2023-09-23 00:00:00.000 +0200,"rejected takeoff due to bird strike, deflated tyres",AP-BLC,Airbus,A320-200,PK-264
117694,1268,A320,2023-09-19 00:00:00.000 +0200,Incident,PAL Express,Manila,2023-09-19 00:00:00.000 +0200,bird strike,RP-C8619,Airbus,A320-200 ,PR-2203
117696,1270,A320,2023-09-18 00:00:00.000 +0200,Incident,Spirit,Memphis,2023-09-18 00:00:00.000 +0200,bird strike,N692NK,Airbus,A320-200,NK-2866
117695,1269,A321,2023-09-18 00:00:00.000 +0200,Incident,American,Orlando,2023-09-17 00:00:00.000 +0200,bird strike,N930AU,Airbus,A321-200,AA-2077
117697,1271,B38M,2023-09-18 00:00:00.000 +0200,Incident,Southwest,Austin,2023-09-17 00:00:00.000 +0200,bird strike,N8705Q,Boeing,"737-8 MAX",WN-1802
117735,1309,B773,2023-09-09 00:00:00.000 +0200,Incident,Swiss,Chicago,2023-09-08 00:00:00.000 +0200,rejected takeoff due to flock of birds,HB-JNL,Boeing,"777-300",LX-9
117747,1320,B737,2023-09-07 00:00:00.000 +0200,Incident,Southwest,Raleigh/Durham,2023-09-07 00:00:00.000 +0200,bird strike,N919WN,Boeing,"737-700",WN-1954
117764,1335,A21N,2023-09-04 00:00:00.000 +0200,Incident,Indigo,Bhubaneswar,2023-09-04 00:00:00.000 +0200,bird strike,VT-IUO,Airbus,A321-200N,"6E-2065"
117754,1326,B738,2023-09-05 00:00:00.000 +0200,Incident,El Al,Tel Aviv,2023-09-04 00:00:00.000 +0200,bird strike causes unreliable airspeed,"4X-EKP",Boeing,"737-800",LY-290
117755,1327,A321,2023-09-05 00:00:00.000 +0200,Incident,LATAM,Concepcion,2023-09-04 00:00:00.000 +0200,bird strike,CC-BEA,Airbus,A321-200,LA-212
117761,1332,A320,2023-09-04 00:00:00.000 +0200,Incident,Easyjet Europe,Catania,2023-09-01 00:00:00.000 +0200,bird strike,OE-IND,Airbus,A320-200,U2-3536
117753,1325,A320,2023-09-06 00:00:00.000 +0200,Accident,Smartlynx Malta,Tallinn,2023-09-01 00:00:00.000 +0200,bird strike,"9H-SLE",Airbus,A320-200 ,MYX-555
117757,1329,A320,2023-09-04 00:00:00.000 +0200,Incident,West China,Nanning,2023-09-01 00:00:00.000 +0200,flock of birds,B-8286,Airbus,A320-200,PN-6444
117791,1362,A319,2023-08-29 00:00:00.000 +0200,Incident,Brussels,Brussels,2023-08-29 00:00:00.000 +0200,"bird strike, another dented nose",OO-SSA,Airbus,A319-100,SN-3604
117796,1367,B38M,2023-08-28 00:00:00.000 +0200,Incident,Malta,Thessaloniki,2023-08-28 00:00:00.000 +0200,bird strike,"9H-VUQ",Boeing,"737-8 MAX ",FR-4690
117785,1356,AT72,2023-08-30 00:00:00.000 +0200,Incident,Azul,Uberlandia,2023-08-27 00:00:00.000 +0200,bird strike,PR-AKM,ATR,"72-212A",AD-2859
117800,1371,B763,2023-08-27 00:00:00.000 +0200,Incident,Austrian,Vienna,2023-08-27 00:00:00.000 +0200,bird strike,OE-LAY,Boeing,"767-300",OS-87
117792,1363,B738,2023-08-29 00:00:00.000 +0200,Incident,Iraqi,Sulaymaniyah,2023-08-27 00:00:00.000 +0200,bird strike,YI-ASW,Boeing,"737-800",IA-3202
117798,1369,A319,2023-08-28 00:00:00.000 +0200,Incident,American,Phoenix,2023-08-26 00:00:00.000 +0200,bird strike,N836AW,Airbus,A319-100,AA-761
117801,1372,A320,2023-08-27 00:00:00.000 +0200,Incident,Lauda Europe,Helsinki,2023-08-26 00:00:00.000 +0200,bird strike,"9H-LMT",Airbus,A320-200 ,FR-2345
117809,1380,B739,2023-08-25 00:00:00.000 +0200,Incident,Delta,Ft. Myers,2023-08-24 00:00:00.000 +0200,bird strike,N900DU,Boeing,"737-900",DL-1139
117862,1432,E190,2023-08-14 00:00:00.000 +0200,Incident,NORRA,Helsinki,2023-08-13 00:00:00.000 +0200,flock of birds,OH-LKR,,,AY-1145
117861,1431,E190,2023-08-14 00:00:00.000 +0200,Incident,NORRA,Helsinki,2023-08-13 00:00:00.000 +0200,bird strike,OH-LKN,Embraer,ERJ,AY-1581
